x1,x2,x3,x4,x5,x6,x7,x8,target
50.1341,-326,SAT,MZBER,0,0,6,-6.5,0
50.1341,-326,SAT,MZBER,0,0,6,-4.5,0
124.32759999999999,-275.1935,LCV,MZBER,0,0,3,-2.5,0
50.1341,-326,SAT,MZBER,0,0,3,-4.5,0
85.3905,-298.8632,XJB,MZBER,0,0,5,-4.5,0
102.15719999999999,-282.6474,LCV,MZBER,0,0,3,-3.5,0
117.53630000000001,-285.5787,XJB,MZBER,0,0,3,-3.5,0
83.910699999999991,-302.1525,QKP,MZBER,0,0,3,-5.5,0
125.13409999999999,-288.5,SAT,MZBER,0,0,4,-5.5,0
120.40439999999998,-301.6757,SAT,MZBER,0,0,3,-6.5,0
119.225,-316.9091,LCV,MZBER,0,0,5,-7.5,0
86.366,-291.2174,LCV,MZBER,0,0,3,-6.5,0
101.1831,-288.9371,LCV,MZBER,0,0,3,-6.5,0
50.1341,-326,SAT,MZBER,0,0,6,-7.5,0
102.51509999999999,-292.6667,SAT,MZBER,0,0,3,-3.5,0
86.4977,-312.3636,SAT,MZBER,0,0,3,-2.5,0
50.1341,-326,LCV,MZBER,0,0,3,-7.5,0
90.134099999999989,-282.6667,LCV,MZBER,0,0,3,-4.5,0
108.29739999999998,-279.0612,XJB,MZBER,0,0,3,-7.5,0
110.8083,-297.9101,LCV,MZBER,0,0,3,-7.5,0
84.204299999999989,-295.0533,QKP,MZBER,0,0,3,-7.5,0
109.62780000000001,-293.0886,SAT,MZBER,0,0,5,-5.5,0
92.4418,-293.94870000000003,LCV,MZBER,0,0,3,-4.5,0
83.4674,-310.4444,SAT,MZBER,0,0,3,-6.5,0
125.99619999999999,-294.9655,LCV,MZBER,0,0,3,-5.5,0
100.13409999999999,-311,LCV,MZBER,0,0,3,-5.5,0
50.1341,-326,SAT,MZBER,0,0,6,-7.5,0
98.134099999999989,-292,LCV,MZBER,0,0,3,-1.5,0
113.292,-297.9298,LCV,MZBER,0,0,3,-7.5,0
113.5144,-295.0141,LCV,MZBER,0,0,3,-5.5,0
92.991199999999992,-297.4286,SAT,MZBER,0,0,3,-2.5,0
114.5409,-290.4068,LCV,MZBER,0,0,4,-5.5,0
94.578499999999991,-259.3333,SAT,MZBER,0,0,3,-5.5,0
112.8792,-294.6275,LCV,MZBER,0,0,3,-6.5,0
122.5341,-310.4,XJB,PQKE,0,1,3,-5.5,1
150.1341,-242.6667,SAT,MZBER,0,0,4,-7.5,0
50.1341,-326,QKP,MZBER,0,0,3,-6.5,0
113.88409999999999,-291,LCV,MZBER,0,0,3,-4.5,0
123.55179999999999,-277.8987,LCV,MZBER,0,0,3,-5.5,0
128.7055,-290.2857,SAT,MZBER,0,0,3,-6.5,0
107.27699999999999,-291.7143,LCV,MZBER,0,0,3,-6.5,0
103.7926,-286.9756,LCV,MZBER,0,0,3,-6.5,0
50.1341,-326,SAT,MZBER,0,0,6,-5.5,0
100.13409999999999,-291.493,LCV,MZBER,0,0,3,-5.5,0
63.4674,-316,LCV,MZBER,0,0,3,-5.5,0
150.1341,-326,SAT,MZBER,0,0,3,-4.5,0
119.47720000000001,-280.7445,LCV,MZBER,0,0,3,-5.5,0
88.0651,-298.4138,LCV,MZBER,0,0,3,-3.5,0
106.6558,-276,SAT,MZBER,1,0,5,-5.5,0
103.7055,-304.5714,LCV,MZBER,0,0,3,-6.5,0
113.9639,-288.766,LCV,MZBER,0,0,3,-6.5,0
50.1341,-326,SAT,MZBER,0,0,6,-7.5,0
105.6897,-284.3333,LCV,MZBER,0,0,3,-4.5,0
136.92659999999998,-290.1509,LCV,MZBER,0,0,3,-4.5,0
118.81630000000001,-315.9225,XJB,PQKE,0,0,3,-3.5,0
50.1341,-326,SAT,MZBER,0,0,6,-7.5,0
124.0471,-286.8696,LCV,MZBER,0,0,3,-3.5,0
91.1039,-288.26279999999997,QKP,MZBER,0,0,3,-5.5,0
98.41,-312.2069,SAT,MZBER,0,0,3,-5.5,0
82.6642,-305.5181,LCV,YEQA,0,0,3,-3.5,0
97.8614,-285.09090000000003,SAT,MZBER,0,0,3,-3.5,0
71.1018,-309.871,LCV,MZBER,0,0,5,-6.5,0
88.8438,-272.7742,LCV,MZBER,0,0,3,-4.5,0
114.7629,-293.2489,XJB,MZBER,0,0,3,-7.5,0
121.725,-282.8182,LCV,MZBER,0,0,4,-4.5,0
150.1341,-326,SAT,MZBER,0,1,3,-4.5,0
83.4674,-259.3333,SAT,MZBER,0,0,3,-4.5,0
50.1341,-326,SAT,MZBER,0,0,6,-7.5,0
100.13409999999999,-326,SAT,MZBER,0,0,6,-6.5,0
108.523,-284.64549999999997,QKP,MZBER,0,1,3,-4.5,0
105.16059999999999,-295.4444,XJB,MZBER,0,0,3,-5.5,0
115.27169999999998,-277.3761,LCV,MZBER,0,0,3,-2.5,0
84.7495,-306.7692,SAT,MZBER,0,0,5,-7.5,0
122.8614,-271.4545,SAT,MZBER,0,1,3,-7.5,0
115.53199999999998,-280.6713,XJB,MZBER,0,0,3,-2.5,0
106.0165,-293.0415,QKP,MZBER,0,0,3,-4.5,0
110.5301,-287.3861,LCV,MZBER,0,0,3,-4.5,0
100.13409999999999,-259.3333,SAT,MZBER,0,0,3,-6.5,0
50.1341,-326,SAT,MZBER,0,0,3,-6.5,0
60.2924,-319.0739,XJB,MZBER,0,0,3,-7.5,0
113.7705,-280.5455,LCV,MZBER,0,0,3,-2.5,0
74.32759999999999,-322.7742,LCV,MZBER,0,0,6,-3.5,0
120.3469,-291.9574,SAT,MZBER,0,0,3,-5.5,0
116.80080000000001,-259.3333,SAT,MZBER,0,0,3,-6.5,0
50.1341,-326,LCV,MZBER,0,0,3,-4.5,0
123.0455,-274.6076,XJB,MZBER,0,0,3,-2.5,0
119.54589999999999,-271.8824,LCV,MZBER,0,0,3,-7.5,0
97.5025,-310.2105,SAT,MZBER,0,0,3,-4.5,0
91.4384,-276,SAT,MZBER,0,0,3,-5.5,1
98.852,-292.6667,SAT,MZBER,0,0,3,-4.5,0
50.1341,-326,SAT,MZBER,0,0,6,-7.5,0
126.3931,-290.0288,LCV,MZBER,0,1,3,-3.5,0
50.1341,-326,LCV,MZBER,0,0,3,-7.5,0
117.8015,-291.5889,XJB,MZBER,0,1,3,-6.5,0
99.7354,-301.1196,XJB,MZBER,0,0,3,-3.5,0
127.13669999999999,-289.1783,XJB,MZBER,0,0,3,-7.5,0
57.277,-311.7143,SAT,MZBER,0,0,6,-5.5,0
102.51509999999999,-289.4921,LCV,MZBER,0,0,3,-6.5,0
106.9968,-296.58820000000003,LCV,MZBER,0,0,3,-5.5,0
103.25909999999999,-281.2083,LCV,MZBER,0,0,4,-5.5,0
106.5395,-263.7288,QKP,MZBER,0,0,3,-7.5,0
111.9898,-293.01030000000003,LCV,MZBER,0,0,3,-5.5,0
114.09449999999998,-313.7228,QKP,MZBER,0,0,3,-4.5,0
99.44919999999999,-321.8904,LCV,MZBER,0,0,3,-4.5,0
99.8073,-297.2418,LCV,MZBER,0,0,3,-6.5,0
50.1341,-326,SAT,MZBER,0,0,3,-4.5,0
105.6897,-292.6667,SAT,MZBER,0,0,3,-5.5,0
95.225,-297.2727,LCV,MZBER,0,0,3,-3.5,0
104.96279999999999,-288.3053,XJB,YEQA,0,0,3,-3.5,0
50.1341,-326,SAT,MZBER,0,0,3,-7.5,0
50.1341,-326,SAT,MZBER,0,0,3,-7.5,0
115.8484,-291.7143,LCV,MZBER,0,0,3,-2.5,0
112.63409999999999,-304.5714,LCV,MZBER,0,0,5,-5.5,0
125.13409999999999,-284.3333,SAT,MZBER,0,0,3,-2.5,0
76.9634,-296.7317,LCV,MZBER,0,0,3,-5.5,0
116.4384,-304.2609,LCV,MZBER,0,0,5,-6.5,0
116.0915,-306.8511,SAT,MZBER,0,0,3,-6.5,0
109.225,-313.8788,LCV,YEQA,1,0,3,-3.5,0
88.8008,-294,LCV,MZBER,0,0,3,-5.5,0
150.1341,-326,SAT,MZBER,0,0,6,-7.5,0
116.51339999999999,-276,LCV,MZBER,0,0,3,-5.5,0
116.17179999999999,-288.2642,LCV,MZBER,0,0,3,-3.5,0
85.6413,-299.913,LCV,MZBER,0,0,4,-5.5,0
119.8589,-292.9725,LCV,MZBER,0,0,3,-5.5,0
100.13409999999999,-314.3333,LCV,MZBER,0,0,4,-6.5,0
72.009099999999989,-313.5,SAT,MZBER,0,0,3,-2.5,0
85.8484,-297.4286,SAT,MZBER,0,0,3,-5.5,0
50.1341,-326,SAT,MZBER,0,0,6,-7.5,0
115.2465,-288.0316,QKP,MZBER,0,0,3,-4.5,0
125.89169999999999,-289.6364,SAT,MZBER,0,0,5,-4.5,0
89.023,-309.3333,SAT,MZBER,0,0,5,-7.5,0
111.4977,-297.5909,LCV,MZBER,0,0,3,-6.5,0
110.13409999999999,-299.3333,SAT,MZBER,0,0,5,-4.5,0
50.1341,-326,SAT,MZBER,0,1,6,-7.5,0
118.6825,-296.1613,LCV,MZBER,0,0,3,-7.5,0
97.70689999999999,-324.0583,LCV,MZBER,0,1,3,-7.5,0
104.6796,-286.6061,LCV,MZBER,1,0,3,-5.5,0
113.4153,-306.4688,LCV,MZBER,0,0,6,-4.5,0
98.5212,-309.871,SAT,MZBER,0,0,3,-7.5,0
91.9523,-307.8182,LCV,MZBER,0,0,3,-6.5,0
99.7524,-276.3817,LCV,MZBER,0,0,3,-5.5,0
95.950799999999987,-291.3386,XJB,MZBER,0,0,3,-3.5,0
104.7733,-310.5361,LCV,MZBER,0,0,3,-5.5,0
130.1341,-326,SAT,MZBER,0,1,6,-6.5,0
103.8975,-301.2688,LCV,MZBER,0,0,3,-4.5,0
120.8546,-305.4328,QKP,PQKE,0,0,3,-1.5,0
139.225,-266,LCV,MZBER,0,0,3,-6.5,0
